house_code,city_id,house_condition_name,beadroom_num,rent_price,name,longitude,latitude,frame_hall_num,subway
BJ2622246123636523008,110000,四惠,2,6800,力源里,"116.498928,",39.916407,1,"[{""distance"":376,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239}];"
BJ2628228497146904576,110000,万达,2,3300,帅府园,"116.652626,",39.909058,1,"[{""distance"":959,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2615934262808936448,110000,四惠,2,6650,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2701443863389667328,110000,高碑店,2,6800,兴隆家园,"116.530553,",39.921425,1,"[{""distance"":887,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916198,""point_lng"":116.537052},{""distance"":1039,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1103,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929697,""point_lng"":116.525295}];"
BJ2710005715749044224,110000,高碑店,2,6050,兴隆家园,"116.530553,",39.921425,1,"[{""distance"":887,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916198,""point_lng"":116.537052},{""distance"":1039,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1103,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929697,""point_lng"":116.525295}];"
BJ2667526509790494720,110000,万达,2,4000,北苑南路24号院,"116.646666,",39.907496,1,"[{""distance"":495,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2636859285652373504,110000,高碑店,2,5700,金隅泰和园,"116.537987,",39.926203,1,[];
BJ2701270225546395648,110000,果园,2,3600,葛布店北里,"116.66424,",39.899598,1,"[{""distance"":589,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e5d\u68f5\u6811"",""point_lat"":39.896223,""point_lng"":116.663992},{""distance"":1063,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899673,""point_lng"":116.652729}];"
BJ2695014757605310464,110000,万达,2,3700,故城东路11号院,"116.681969,",39.912944,1,"[{""distance"":1175,""lines"":[""6\u53f7\u7ebf""],""name"":""\u5317\u8fd0\u6cb3\u897f"",""point_lat"":39.909252,""point_lng"":116.69435}];"
BJ2698666732309970944,110000,万达,2,3500,通州区第二毛线厂宿舍,"116.654243,",39.912488,1,"[{""distance"":1121,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910576,""point_lng"":116.644006}];"
