house_code,area,orientations,storey,elevator,parking,civil_water,civil_power,gas,heating,lease_term
BJ2622246123636523008,76㎡,东北,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2628228497146904576,62㎡,南 北,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内
BJ2615934262808936448,74㎡,东,中楼层/9层,有,免费使用,民水,民电,有,集中供暖,2年以内
BJ2701443863389667328,84㎡,南 北,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内
BJ2710005715749044224,76㎡,东 西,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2667526509790494720,89㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上
BJ2636859285652373504,78㎡,南,低楼层/29层,有,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2701270225546395648,60㎡,南 北,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内
BJ2695014757605310464,88㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2698666732309970944,62㎡,南 北,高楼层/7层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2373860183819419648,70㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2564376789233442816,66㎡,西南,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2594908464011034624,57㎡,南,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以内
BJ2686048157694951424,83㎡,东 西,低楼层/9层,有,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2633360519553089536,86㎡,东南,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,1年以内
BJ2422383044553359360,60㎡,东 西,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上
BJ2475201218142806016,94㎡,南 北,中楼层/13层,有,暂无数据,民水,民电,有,集中供暖,1年以内
BJ2668649570120515584,84㎡,南 北,低楼层/6层,无,租用车位,民水,民电,有,集中供暖,1年以内
BJ2656459683564355584,80㎡,西北,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2688568675476176896,86㎡,南 北,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2597809401448366080,94㎡,南 北,中楼层/16层,有,租用车位,民水,民电,有,集中供暖,3年以上
BJ2711680413751058432,112㎡,西南,中楼层/28层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2670394371089629184,78㎡,南,高楼层/9层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2634836369570004992,79㎡,南,低楼层/23层,有,租用车位,民水,民电,暂无数据,集中供暖,3年以上
BJ2615040217434308608,65㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2660936951989288960,90㎡,南,高楼层/16层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2704331836913623040,97㎡,西北,低楼层/28层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2694708211143426048,78㎡,西南,低楼层/24层,有,租用车位,民水,民电,有,集中供暖,2年以内
BJ2692655898836877312,63㎡,南 北,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据
BJ2402078902466904064,89㎡,南 北,低楼层/13层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2707094762078879744,85㎡,南,高楼层/20层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2607762707096535040,66㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上
BJ2669355784412348416,68㎡,东 南 北,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内
BJ2638384077702701056,58㎡,南 西 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2695421450759970816,76㎡,东,中楼层/28层,有,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2660685158550093824,84㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2425844033697366016,54㎡,南 北,低楼层/7层,无,免费使用,民水,民电,有,集中供暖,2年以内
BJ2677437628600819712,75㎡,南 北,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内
BJ2705829024386785280,60㎡,南 北,中楼层/4层,无,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2699121444968996864,77㎡,南 北,高楼层/11层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2700126937128370176,60㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2650503651407708160,78㎡,南 北,中楼层/7层,无,租用车位,民水,民电,有,集中供暖,1年以内
BJ2686784004258275328,99㎡,南 北,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2534164057788268544,61㎡,东南,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2621057587293978624,59㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2504105795965698048,94㎡,南 北,低楼层/16层,有,租用车位,民水,民电,有,集中供暖,3年以上
BJ2473019285577146368,69㎡,东南 西南,中楼层/22层,有,租用车位,民水,民电,有,集中供暖,3年以内
BJ2600714691576086528,105㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,无,集中供暖,2年以内
BJ2613822323630800896,78㎡,南,中楼层/29层,有,租用车位,民水,民电,有,集中供暖,3年以上
BJ2519582950262046720,98㎡,南,低楼层/32层,有,租用车位,民水,民电,有,集中供暖,2年以内
BJ2617237528540872704,90㎡,东南,中楼层/20层,有,租用车位,民水,民电,有,集中供暖,2年以内
BJ2712233603559342080,89㎡,南,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,2年以内
BJ2662992411633909760,90㎡,东南,中楼层/20层,有,租用车位,民水,民电,有,集中供暖,2年以内
BJ2594016039574708224,79㎡,南 北,低楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内
BJ2693324638783807488,94㎡,南 北,低楼层/6层,有,暂无数据,民水,民电,有,集中供暖,3年以内
BJ2459997377772126208,54㎡,南 北,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,1年以内
BJ2694223929413222400,114㎡,西南,中楼层/23层,有,租用车位,民水,民电,有,集中供暖,2年以内
